point50705 ( 41551 , 166649 ) 
point54680 ( 838781 , 606603 ) 
point98747 ( 795652 , 275928 ) 
point32557 ( 367508 , 99168 ) 
point69186 ( 786082 , 255848 ) 
point22378 ( 406495 , 630146 ) 
point48646 ( 299515 , 69727 ) 
point27657 ( 114765 , 354059 ) 
point23384 ( 551062 , 431843 ) 
point28941 ( 504283 , 878151 ) 
point72759 ( 785664 , 288499 ) 
point63733 ( 796620 , 265148 ) 
point72662 ( 792418 , 289583 ) 
point73524 ( 788190 , 263986 ) 
point24388 ( 66611 , 344334 ) 
point48190 ( 13862 , 382293 ) 
point96394 ( 790173 , 258017 ) 
point62324 ( 772015 , 286909 ) 
point50067 ( 391932 , 593066 ) 
point72142 ( 769397 , 268665 ) 
point6509 ( 178907 , 702689 ) 
point90715 ( 761494 , 273851 ) 
point60672 ( 784835 , 299042 ) 
point43219 ( 370171 , 596370 ) 
point27368 ( 201444 , 77053 ) 
point81078 ( 768000 , 261852 ) 
point50026 ( 7235 , 547168 ) 
point72417 ( 750703 , 261654 ) 
point82751 ( 787191 , 264632 ) 
point35730 ( 246127 , 849382 ) 
point59613 ( 556010 , 482920 ) 
point81058 ( 785206 , 298411 ) 
point46085 ( 869258 , 347369 ) 
point52819 ( 595046 , 808750 ) 
point96637 ( 770470 , 287078 ) 
point17750 ( 378867 , 284177 ) 
point77850 ( 776141 , 289007 ) 
point12509 ( 643224 , 504737 ) 
point21512 ( 725631 , 618951 ) 
point13495 ( 831348 , 928100 ) 
point44243 ( 26186 , 350073 ) 
point99315 ( 761298 , 288251 ) 
point46876 ( 45387 , 533245 ) 
point97152 ( 757296 , 282304 ) 
point40135 ( 518290 , 14372 ) 
point44332 ( 924895 , 161168 ) 
point97587 ( 768461 , 295952 ) 
point15994 ( 555191 , 750445 ) 
point51468 ( 42662 , 913211 ) 
point28546 ( 324251 , 849177 ) 
point10401 ( 287806 , 265914 ) 
point80265 ( 757798 , 286586 ) 
point52531 ( 289252 , 248868 ) 
point65035 ( 777299 , 295579 ) 
point66569 ( 798996 , 270754 ) 
point32447 ( 425789 , 702403 ) 
point35336 ( 988415 , 720568 ) 
point64001 ( 752095 , 262321 ) 
point60076 ( 766550 , 266144 ) 
point81292 ( 781269 , 299061 ) 
point55356 ( 220443 , 18363 ) 
point26857 ( 821915 , 791997 ) 
point85966 ( 774868 , 291183 ) 
point44557 ( 418396 , 955831 ) 
point33102 ( 910441 , 101828 ) 
point58174 ( 229202 , 592618 ) 
point93642 ( 778377 , 299205 ) 
point16555 ( 181982 , 698684 ) 
point19547 ( 224905 , 503656 ) 
point34292 ( 100543 , 952026 ) 
point53672 ( 999001 , 558936 ) 
point82174 ( 786045 , 269416 ) 
point64145 ( 774124 , 271280 ) 
point10377 ( 601999 , 501084 ) 
point91268 ( 766629 , 280916 ) 
point19050 ( 233063 , 28085 ) 
point29401 ( 617932 , 684328 ) 
point67669 ( 771536 , 261010 ) 
point35351 ( 515286 , 87222 ) 
point26804 ( 434839 , 300768 ) 
point4925 ( 8138 , 559922 ) 
point40992 ( 852682 , 968757 ) 
point52794 ( 260194 , 815128 ) 
point1839 ( 966956 , 482532 ) 
point54913 ( 639103 , 835772 ) 
point14780 ( 893931 , 372617 ) 
point70313 ( 756759 , 275134 ) 
point96146 ( 793507 , 270959 ) 
point47724 ( 682701 , 214867 ) 
point30259 ( 872937 , 557098 ) 
point82199 ( 777439 , 251924 ) 
point33892 ( 960491 , 265677 ) 
point45039 ( 912383 , 454676 ) 
point27867 ( 103600 , 799801 ) 
point84447 ( 787721 , 265037 ) 
point3766 ( 84452 , 385866 ) 
point38304 ( 121322 , 221563 ) 
point67917 ( 776185 , 292737 ) 
point25979 ( 975930 , 728339 ) 
point28762 ( 434485 , 706480 ) 
point69830 ( 786519 , 270719 ) 
point19690 ( 517024 , 706826 ) 
point89262 ( 781710 , 297644 ) 
point21951 ( 51166 , 584382 ) 
point90598 ( 785703 , 283359 ) 
point67392 ( 758095 , 265793 ) 
point65902 ( 770183 , 261352 ) 
point65542 ( 798789 , 274965 ) 
point59911 ( 306069 , 747262 ) 
point36302 ( 8852 , 589134 ) 
point37425 ( 229071 , 727908 ) 
point919 ( 851713 , 960533 ) 
point23955 ( 579807 , 862529 ) 
point35972 ( 264407 , 303191 ) 
point7829 ( 739317 , 667508 ) 
point39923 ( 737352 , 983947 ) 
point68206 ( 764604 , 289208 ) 
point49635 ( 710422 , 923247 ) 
point73591 ( 793461 , 265639 ) 
point82864 ( 789929 , 255951 ) 
point34766 ( 733208 , 288962 ) 
point49216 ( 679410 , 928978 ) 
point54348 ( 448962 , 122272 ) 
point42982 ( 925804 , 650054 ) 
point38594 ( 930843 , 627066 ) 
point72853 ( 783755 , 250599 ) 
point75320 ( 754599 , 261906 ) 
point92971 ( 795661 , 296721 ) 
point92314 ( 765126 , 294264 ) 
point39510 ( 454592 , 609187 ) 
point57691 ( 461942 , 842289 ) 
point86752 ( 784106 , 285129 ) 
point72668 ( 762656 , 262964 ) 
point62463 ( 795745 , 251631 ) 
point74025 ( 776357 , 298146 ) 
point24054 ( 130367 , 342818 ) 
point60719 ( 791409 , 273477 ) 
point71720 ( 799663 , 284735 ) 
point63746 ( 761539 , 286086 ) 
point58451 ( 74472 , 910692 ) 
point41955 ( 862913 , 956516 ) 
point23548 ( 243115 , 260657 ) 
point9428 ( 779434 , 292885 ) 
point99855 ( 772938 , 294674 ) 
point81192 ( 764792 , 291709 ) 
point60187 ( 796683 , 268692 ) 
point73043 ( 773250 , 260147 ) 
point80620 ( 781172 , 276278 ) 
point47074 ( 344718 , 370125 ) 
point9704 ( 318011 , 115802 ) 
point1381 ( 575632 , 260598 ) 
point93514 ( 763361 , 293658 ) 
point96691 ( 793346 , 270712 ) 
point27314 ( 425516 , 195538 ) 
point11046 ( 372535 , 707425 ) 
point87828 ( 765780 , 266414 ) 
point3319 ( 390710 , 174966 ) 
point51471 ( 745580 , 528350 ) 
point93818 ( 783089 , 261889 ) 
point77982 ( 782811 , 268351 ) 
point93178 ( 750777 , 277457 ) 
point38565 ( 983659 , 837820 ) 
point36497 ( 111789 , 276835 ) 
point89747 ( 793712 , 255344 ) 
point78497 ( 760019 , 285388 ) 
point2296 ( 418245 , 618928 ) 
point30560 ( 910300 , 730517 ) 
point64885 ( 789908 , 279687 ) 
point89961 ( 786173 , 287763 ) 
point54431 ( 173187 , 757560 ) 
point16955 ( 501980 , 714730 ) 
point90781 ( 761758 , 278501 ) 
point49730 ( 565666 , 359903 ) 
point87152 ( 758553 , 272315 ) 
point17548 ( 214216 , 786013 ) 
point63363 ( 753042 , 297580 ) 
point67629 ( 798898 , 282133 ) 
point97859 ( 765834 , 263823 ) 
point34381 ( 436941 , 704204 ) 
point24093 ( 279186 , 102229 ) 
point40416 ( 502240 , 80359 ) 
point64401 ( 777238 , 287301 ) 
point4470 ( 649274 , 941964 ) 
point72785 ( 769884 , 299035 ) 
point49698 ( 698697 , 136999 ) 
point95653 ( 771730 , 295997 ) 
point60896 ( 754575 , 280305 ) 
point44483 ( 979507 , 953043 ) 
point94386 ( 752533 , 267479 ) 
point90444 ( 784323 , 262917 ) 
point65088 ( 762873 , 292232 ) 
point13932 ( 623502 , 463180 ) 
point38826 ( 419869 , 482590 ) 
point4304 ( 552957 , 4870 ) 
point76071 ( 760085 , 287108 ) 
point30730 ( 465876 , 326715 ) 
point78236 ( 798300 , 256200 ) 
point15565 ( 664145 , 892597 ) 
point63364 ( 770059 , 293790 ) 
point10731 ( 949823 , 117922 ) 
point29760 ( 78117 , 236985 ) 
point44053 ( 360547 , 240068 ) 
point6694 ( 464706 , 597353 ) 
point64830 ( 770673 , 262026 ) 
point36852 ( 699402 , 592555 ) 
point28734 ( 443021 , 920473 ) 
point86981 ( 750466 , 256678 ) 
point7879 ( 934361 , 537130 ) 
point47557 ( 70215 , 229925 ) 
point71617 ( 783620 , 266536 ) 
point58561 ( 861611 , 930317 ) 
point10890 ( 256610 , 116619 ) 
point13785 ( 24822 , 404756 ) 
point34042 ( 627427 , 492550 ) 
point764 ( 741063 , 879772 ) 
point54310 ( 595726 , 6113 ) 
point40775 ( 90187 , 929925 ) 
point59111 ( 684771 , 787792 ) 
point55992 ( 891252 , 781361 ) 
point28514 ( 175821 , 862455 ) 
point82752 ( 776842 , 281563 ) 
point65513 ( 785036 , 255804 ) 
point48527 ( 220527 , 489590 ) 
point86655 ( 786243 , 296049 ) 
point86193 ( 795739 , 290552 ) 
point16541 ( 805446 , 708914 ) 
point17433 ( 761648 , 374197 ) 
point50226 ( 755318 , 833706 ) 
point28938 ( 999447 , 844300 ) 
point81681 ( 774368 , 299717 ) 
point27579 ( 386772 , 963023 ) 
point26493 ( 841287 , 943567 ) 
point22219 ( 682357 , 571226 ) 
point46311 ( 901520 , 567160 ) 
point29908 ( 297239 , 65348 ) 
point28411 ( 683925 , 477463 ) 
point51666 ( 369844 , 448425 ) 
point62981 ( 799306 , 272740 ) 
point24021 ( 967261 , 195940 ) 
point91810 ( 791999 , 251930 ) 
point96599 ( 770353 , 291236 ) 
point73842 ( 798707 , 283328 ) 
point43992 ( 724637 , 251108 ) 
point56687 ( 417063 , 509373 ) 
point87155 ( 750457 , 270529 ) 
point25757 ( 844349 , 268472 ) 
point94433 ( 783137 , 280839 ) 
point79007 ( 759371 , 297847 ) 
point23430 ( 729637 , 704381 ) 
point59314 ( 774665 , 663449 ) 
point29965 ( 979872 , 703833 ) 
point58225 ( 502756 , 708702 ) 
point4140 ( 60185 , 859602 ) 
point217 ( 55540 , 122012 ) 
point8648 ( 597133 , 564641 ) 
point48903 ( 193809 , 524604 ) 
point43965 ( 102815 , 936091 ) 
point25322 ( 710120 , 41071 ) 
point60685 ( 752726 , 253950 ) 
point53604 ( 958406 , 84062 ) 
point42769 ( 55366 , 686479 ) 
point84722 ( 779518 , 263205 ) 
point38333 ( 481704 , 597511 ) 
point72615 ( 783570 , 275167 ) 
point52817 ( 886158 , 450989 ) 
point54996 ( 112108 , 517708 ) 
point34817 ( 80394 , 702769 ) 
point35239 ( 482175 , 306511 ) 
point74208 ( 754691 , 275921 ) 
point25052 ( 644551 , 604822 ) 
point85268 ( 796233 , 261967 ) 
point61151 ( 780006 , 266815 ) 
point30778 ( 916276 , 912392 ) 
point19971 ( 195295 , 443202 ) 
point31387 ( 628448 , 348376 ) 
point67561 ( 784256 , 263606 ) 
point675 ( 778295 , 27719 ) 
point66245 ( 753137 , 256019 ) 
point72465 ( 763055 , 278642 ) 
point31648 ( 894903 , 638113 ) 
point53360 ( 542222 , 887803 ) 
point6294 ( 814831 , 302040 ) 
point18882 ( 51856 , 345408 ) 
point60468 ( 772133 , 268605 ) 
point36576 ( 195480 , 595699 ) 
point40844 ( 495838 , 901941 ) 
point63249 ( 780296 , 295895 ) 
point94105 ( 758998 , 297212 ) 
point9273 ( 985298 , 7113 ) 
point79704 ( 758841 , 262377 ) 
point30983 ( 488825 , 823546 ) 
point90698 ( 797634 , 266994 ) 
point53893 ( 866570 , 823046 ) 
point70692 ( 767200 , 257811 ) 
point96196 ( 774786 , 273905 ) 
point14946 ( 669141 , 194045 ) 
point74371 ( 796186 , 271513 ) 
point33290 ( 146023 , 704925 ) 
point78999 ( 792753 , 258059 ) 
point71510 ( 791021 , 299449 ) 
point24995 ( 693512 , 245280 ) 
point26992 ( 137613 , 943208 ) 
point45311 ( 473089 , 507614 ) 
point45542 ( 795826 , 821799 ) 
point49903 ( 414677 , 697712 ) 
point51716 ( 909595 , 6115 ) 
point80890 ( 773732 , 252982 ) 
point23190 ( 534420 , 665942 ) 
point36322 ( 496855 , 721289 ) 
point95197 ( 786260 , 269939 ) 
point8287 ( 560060 , 655768 ) 
point29860 ( 824005 , 352169 ) 
point27295 ( 196021 , 908962 ) 
point79500 ( 775237 , 295000 ) 
point84833 ( 787986 , 256827 ) 
point56801 ( 470519 , 773640 ) 
point15130 ( 264452 , 748 ) 
point36283 ( 970314 , 274615 ) 
point37638 ( 286489 , 95432 ) 
point59146 ( 423493 , 330896 ) 
point95050 ( 772359 , 271511 ) 
point45128 ( 626363 , 980845 ) 
point15386 ( 797428 , 448000 ) 
point57012 ( 395705 , 745125 ) 
point4709 ( 527820 , 609949 ) 
point25563 ( 461386 , 278080 ) 
point72954 ( 784310 , 279743 ) 
point43338 ( 47267 , 943137 ) 
point25088 ( 666056 , 465043 ) 
point55491 ( 443757 , 35618 ) 
point98682 ( 750334 , 283360 ) 
point8880 ( 628410 , 575666 ) 
point90643 ( 772811 , 299278 ) 
point78276 ( 776848 , 273279 ) 
point28039 ( 699048 , 584054 ) 
point74065 ( 786090 , 295074 ) 
point33875 ( 757405 , 268563 ) 
point18397 ( 304022 , 523231 ) 
point88853 ( 750298 , 260759 ) 
point98603 ( 792232 , 282900 ) 
point11445 ( 496215 , 930168 ) 
point17406 ( 428447 , 297983 ) 
point22459 ( 304186 , 871262 ) 
point54760 ( 997979 , 431217 ) 
point49337 ( 415135 , 517318 ) 
point21286 ( 914099 , 201243 ) 
point62509 ( 753634 , 253401 ) 
point82097 ( 753350 , 288390 ) 
point46143 ( 907757 , 580563 ) 
point57976 ( 585725 , 473563 ) 
point95369 ( 796757 , 262010 ) 
point38095 ( 642920 , 802316 ) 
point25777 ( 739434 , 84842 ) 
point55079 ( 658686 , 413872 ) 
point82630 ( 788041 , 286375 ) 
point20166 ( 72996 , 808591 ) 
point96929 ( 780728 , 277215 ) 
point64167 ( 753029 , 292428 ) 
point58915 ( 851917 , 580720 ) 
point86171 ( 785882 , 293170 ) 
point27289 ( 614938 , 487182 ) 
point69927 ( 785555 , 257605 ) 
point2647 ( 849231 , 117379 ) 
point59640 ( 270005 , 846449 ) 
point51731 ( 164989 , 157946 ) 
point70920 ( 760218 , 272960 ) 
point99205 ( 771237 , 276572 ) 
point74197 ( 781896 , 268929 ) 
point77225 ( 782297 , 272332 ) 
point49510 ( 175865 , 743575 ) 
point27354 ( 53113 , 572726 ) 
point14075 ( 543066 , 182496 ) 
point86107 ( 755923 , 295591 ) 
point13201 ( 944740 , 428803 ) 
point77487 ( 774105 , 264410 ) 
point16003 ( 846073 , 348961 ) 
point76458 ( 782735 , 283135 ) 
point50483 ( 357171 , 690661 ) 
point32634 ( 527862 , 243517 ) 
point63174 ( 777410 , 289183 ) 
point54312 ( 737854 , 233222 ) 
point25755 ( 168073 , 595419 ) 
point3702 ( 294627 , 455016 ) 
point39667 ( 128004 , 97950 ) 
point64971 ( 763310 , 276382 ) 
point79495 ( 775854 , 267428 ) 
point49060 ( 700234 , 470731 ) 
point92501 ( 780145 , 275236 ) 
point10736 ( 920829 , 674346 ) 
point19564 ( 841672 , 812052 ) 
point58132 ( 175824 , 504415 ) 
point76305 ( 788833 , 280447 ) 
point7011 ( 949230 , 503439 ) 
point29531 ( 438669 , 665486 ) 
point11719 ( 979685 , 817581 ) 
point47232 ( 335385 , 528154 ) 
point33458 ( 681278 , 603428 ) 
point70859 ( 798077 , 295110 ) 
point59690 ( 671637 , 801501 ) 
point96857 ( 774767 , 282413 ) 
point40923 ( 483920 , 962682 ) 
point35930 ( 929874 , 261085 ) 
point7820 ( 885165 , 862273 ) 
point62132 ( 755529 , 290000 ) 
point27610 ( 127637 , 257257 ) 
point48236 ( 177325 , 467886 ) 
point22384 ( 5565 , 478373 ) 
point51476 ( 590626 , 346406 ) 
point93692 ( 752622 , 284217 ) 
point71434 ( 760234 , 288332 ) 
point12379 ( 136013 , 395841 ) 
point78351 ( 757289 , 273476 ) 
point12762 ( 231491 , 708024 ) 
point74647 ( 772797 , 296883 ) 
point13585 ( 652550 , 523219 ) 
point15286 ( 438785 , 485626 ) 
point28120 ( 225996 , 744473 ) 
point17770 ( 818927 , 694958 ) 
point23775 ( 445041 , 734541 ) 
point33977 ( 313837 , 704479 ) 
point66704 ( 793417 , 281286 ) 
point36859 ( 191806 , 716841 ) 
point49801 ( 285924 , 318973 ) 
point34061 ( 221170 , 603583 ) 
point11033 ( 542338 , 527158 ) 
point37039 ( 897865 , 665263 ) 
point44978 ( 421801 , 400391 ) 
point10158 ( 429643 , 53791 ) 
point92583 ( 788521 , 285922 ) 
point51202 ( 349818 , 228152 ) 
point48719 ( 732603 , 580041 ) 
point71980 ( 771149 , 282271 ) 
point38475 ( 352757 , 719606 ) 
point58895 ( 671661 , 797516 ) 
point97663 ( 759475 , 251867 ) 
point53778 ( 258428 , 477094 ) 
point522 ( 666675 , 288096 ) 
point31090 ( 13562 , 48291 ) 
point45352 ( 599033 , 169986 ) 
point54711 ( 671659 , 309007 ) 
point11061 ( 456321 , 366570 ) 
point26564 ( 804184 , 705809 ) 
point34738 ( 806884 , 144739 ) 
point16200 ( 254726 , 650203 ) 
point87629 ( 796210 , 288866 ) 
point58371 ( 749520 , 786747 ) 
point60257 ( 757436 , 264813 ) 
point4668 ( 347732 , 727242 ) 
point85186 ( 753214 , 255707 ) 
point75606 ( 785188 , 259789 ) 
point61499 ( 767639 , 267944 ) 
point63368 ( 795281 , 280968 ) 
point17415 ( 516551 , 827958 ) 
point76226 ( 786780 , 281003 ) 
point15846 ( 36746 , 947109 ) 
point34053 ( 183068 , 453859 ) 
point15881 ( 356248 , 612324 ) 
point48391 ( 87790 , 780667 ) 
point39727 ( 583982 , 934016 ) 
point96004 ( 795751 , 260394 ) 
point30717 ( 943528 , 842197 ) 
point43779 ( 83561 , 49903 ) 
point36440 ( 190982 , 914330 ) 
point26142 ( 965277 , 797386 ) 
point60416 ( 773942 , 292160 ) 
point15685 ( 124892 , 534552 ) 
point22877 ( 845640 , 825807 ) 
point94617 ( 784720 , 289352 ) 
point78757 ( 797400 , 257268 ) 
point81471 ( 784118 , 267904 ) 
point15913 ( 397551 , 800427 ) 
point66492 ( 756252 , 251361 ) 
point91023 ( 756640 , 284673 ) 
point43634 ( 71068 , 957620 ) 
point71803 ( 789082 , 285241 ) 
point39552 ( 241107 , 932971 ) 
point61154 ( 787309 , 272362 ) 
point98888 ( 764953 , 277661 ) 
point551 ( 177417 , 323448 ) 
point5748 ( 590581 , 799760 ) 
point18478 ( 20026 , 392105 ) 
point59342 ( 85223 , 87453 ) 
point64914 ( 750878 , 297705 ) 
point97515 ( 780837 , 289703 ) 
point45084 ( 266737 , 353975 ) 
point92122 ( 785273 , 276487 ) 
point87467 ( 781106 , 299897 ) 
point37376 ( 314039 , 439330 ) 
point29563 ( 878774 , 74790 ) 
point3250 ( 152463 , 821176 ) 
point392 ( 23181 , 485824 ) 
point48009 ( 800425 , 775881 ) 
point7550 ( 220425 , 723098 ) 
point76405 ( 768541 , 280046 ) 
point61971 ( 776896 , 255475 ) 
point82233 ( 762979 , 255120 ) 
point16460 ( 810258 , 382263 ) 
point19369 ( 260681 , 54424 ) 
point12502 ( 877386 , 136169 ) 
point29755 ( 731715 , 202424 ) 
point25793 ( 109754 , 446079 ) 
point93142 ( 797354 , 297043 ) 
point21704 ( 797882 , 957041 ) 
point78269 ( 788925 , 264879 ) 
point65950 ( 797672 , 289391 ) 
point78782 ( 793121 , 251290 ) 
point69240 ( 799772 , 269394 ) 
point40884 ( 65610 , 311120 ) 
point34376 ( 159824 , 250401 ) 
point35440 ( 603588 , 869364 ) 
point57237 ( 415525 , 873772 ) 
point62976 ( 788882 , 251467 ) 
point64296 ( 793415 , 265519 ) 
point79142 ( 798337 , 292228 ) 
point74933 ( 774738 , 255361 ) 
point74584 ( 757037 , 270375 ) 
point91319 ( 761051 , 269761 ) 
point3401 ( 366659 , 592840 ) 
point13850 ( 495684 , 440312 ) 
point77581 ( 755455 , 299530 ) 
point7597 ( 275291 , 398111 ) 
point16375 ( 434862 , 465092 ) 
point92527 ( 785771 , 281701 ) 
point47142 ( 139355 , 680160 ) 
point68265 ( 776595 , 293328 ) 
point75428 ( 762236 , 250195 ) 
point88688 ( 762264 , 279487 ) 
point18362 ( 354173 , 602862 ) 
point2552 ( 421575 , 169687 ) 
point59645 ( 784803 , 512403 ) 
point72919 ( 754649 , 298918 ) 
point36579 ( 945260 , 889195 ) 
point59372 ( 943556 , 857084 ) 
point81294 ( 772804 , 250526 ) 
point48083 ( 691019 , 357280 ) 
point51148 ( 570336 , 704507 ) 
point89936 ( 777977 , 288519 ) 
point85342 ( 769471 , 283028 ) 
point7124 ( 299527 , 113562 ) 
point71224 ( 775188 , 295176 ) 
point52485 ( 792794 , 991215 ) 
point96284 ( 781353 , 293933 ) 
point52760 ( 129789 , 646026 ) 
point6951 ( 726160 , 628289 ) 
point46987 ( 775309 , 437140 ) 
point44772 ( 166312 , 133144 ) 
point78743 ( 751221 , 296660 ) 
point11975 ( 92287 , 243235 ) 
point43983 ( 566557 , 892559 ) 
point72638 ( 794879 , 287369 ) 
point24521 ( 490176 , 564167 ) 
point80877 ( 766327 , 258602 ) 
point56149 ( 728107 , 36137 ) 
point63698 ( 755017 , 284589 ) 
point48635 ( 588180 , 745043 ) 
point86674 ( 782920 , 274214 ) 
point69252 ( 779332 , 255910 ) 
point70915 ( 768951 , 299571 ) 
point30159 ( 798661 , 829445 ) 
point88552 ( 760627 , 253769 ) 
point93206 ( 756034 , 284853 ) 
point5501 ( 171450 , 907414 ) 
point81529 ( 774678 , 291257 ) 
point19784 ( 707180 , 496070 ) 
point23437 ( 111788 , 241349 ) 
point60164 ( 767872 , 282221 ) 
point74675 ( 783744 , 296361 ) 
point77208 ( 776363 , 285388 ) 
point32624 ( 391565 , 109349 ) 
point76394 ( 799114 , 264040 ) 
point19152 ( 881626 , 494380 ) 
point26211 ( 619047 , 889866 ) 
point78227 ( 786404 , 292546 ) 
point4255 ( 931975 , 767170 ) 
point94108 ( 755993 , 282315 ) 
point13595 ( 898603 , 738041 ) 
point55921 ( 189071 , 596509 ) 
point60031 ( 795601 , 275390 ) 
point20434 ( 411809 , 18130 ) 
point30171 ( 976026 , 926475 ) 
point731 ( 62694 , 717076 ) 
point95755 ( 753857 , 254778 ) 
point13054 ( 347496 , 560379 ) 
point34670 ( 682602 , 744561 ) 
point71114 ( 758716 , 276642 ) 
point11121 ( 705680 , 745202 ) 
point79973 ( 760471 , 257131 ) 
point32784 ( 50121 , 275707 ) 
point98489 ( 797944 , 255517 ) 
point13285 ( 540298 , 529119 ) 
point91695 ( 772219 , 298577 ) 
point13438 ( 671063 , 760631 ) 
point52960 ( 648316 , 342406 ) 
point97769 ( 777826 , 271566 ) 
point55773 ( 909892 , 941324 ) 
point41016 ( 403269 , 121340 ) 
point10022 ( 391183 , 125521 ) 
point67665 ( 778639 , 258140 ) 
point23883 ( 211087 , 78474 ) 
point47325 ( 253190 , 222281 ) 
point58036 ( 175128 , 426293 ) 
point10574 ( 529616 , 977710 ) 
point54443 ( 671664 , 702265 ) 
point90318 ( 750533 , 252285 ) 
point2763 ( 677667 , 932553 ) 
point35470 ( 839026 , 421357 ) 
point68327 ( 772275 , 257486 ) 
point28284 ( 293780 , 755532 ) 
point99493 ( 758266 , 283582 ) 
point98550 ( 774040 , 288878 ) 
point65031 ( 754815 , 290705 ) 
point99623 ( 798578 , 270372 ) 
point21877 ( 842410 , 229209 ) 
point95383 ( 774772 , 271310 ) 
point21890 ( 246237 , 323814 ) 
point45710 ( 803749 , 225526 ) 
point37912 ( 645067 , 623086 ) 
point67683 ( 786886 , 270204 ) 
point36592 ( 959820 , 498763 ) 
point73514 ( 759073 , 252567 ) 
point97589 ( 774717 , 292439 ) 
point38341 ( 618855 , 224474 ) 
point3771 ( 463199 , 932472 ) 
point581 ( 156933 , 159999 ) 
point37222 ( 931171 , 713454 ) 
point86897 ( 752823 , 285011 ) 
point18917 ( 629221 , 93965 ) 
point89892 ( 785437 , 252269 ) 
point29553 ( 50903 , 655066 ) 
point31957 ( 69297 , 949859 ) 
point89481 ( 795490 , 257613 ) 
point51180 ( 554947 , 419130 ) 
point99980 ( 796099 , 271646 ) 
point48972 ( 898584 , 776851 ) 
point8060 ( 842873 , 507970 ) 
point47461 ( 750395 , 85965 ) 
point94196 ( 794173 , 261134 ) 
point64496 ( 779420 , 293603 ) 
point60609 ( 797745 , 299305 ) 
point12539 ( 615565 , 651281 ) 
point32692 ( 628897 , 987914 ) 
point70321 ( 767462 , 291242 ) 
point18580 ( 809306 , 937420 ) 
point99018 ( 753832 , 262816 ) 
point47668 ( 84939 , 684009 ) 
point60972 ( 773886 , 289888 ) 
point63577 ( 770305 , 296202 ) 
point91985 ( 797463 , 283983 ) 
point31530 ( 803802 , 321018 ) 
point96098 ( 761007 , 277562 ) 
point63653 ( 750203 , 256964 ) 
point44834 ( 796447 , 595002 ) 
point57643 ( 251061 , 21207 ) 
point4230 ( 72237 , 806623 ) 
point69605 ( 796325 , 298867 ) 
point7087 ( 980190 , 520180 ) 
point82878 ( 779002 , 250182 ) 
point25936 ( 407637 , 205719 ) 
point81576 ( 789358 , 272584 ) 
point62424 ( 774040 , 296072 ) 
point60109 ( 768887 , 278035 ) 
point86184 ( 786921 , 267038 ) 
point28791 ( 942669 , 506509 ) 
point6304 ( 20501 , 131397 ) 
point91778 ( 771982 , 262490 ) 
point99235 ( 764333 , 278474 ) 
point84046 ( 796499 , 283669 ) 
point85214 ( 794757 , 268802 ) 
point15225 ( 529738 , 87754 ) 
point80484 ( 771777 , 278450 ) 
point23328 ( 35123 , 296412 ) 
point71984 ( 775298 , 251355 ) 
point56974 ( 607988 , 840022 ) 
point57323 ( 624972 , 431515 ) 
point78902 ( 754325 , 261680 ) 
point10668 ( 34606 , 348239 ) 
point14728 ( 348679 , 78399 ) 
point80449 ( 764981 , 296824 ) 
point57178 ( 963155 , 214711 ) 
point14913 ( 41494 , 621984 ) 
point95144 ( 797585 , 287161 ) 
point7439 ( 119937 , 944908 ) 
point91788 ( 777515 , 280875 ) 
point67461 ( 758746 , 299702 ) 
point63963 ( 756157 , 277197 ) 
point58832 ( 396038 , 604870 ) 
point62049 ( 791958 , 285872 ) 
point36143 ( 868021 , 434318 ) 
point49488 ( 558255 , 209134 ) 
point28582 ( 534409 , 345168 ) 
point64675 ( 766284 , 258316 ) 
point16623 ( 10022 , 649082 ) 
point69489 ( 770100 , 272304 ) 
point8911 ( 301965 , 345514 ) 
point24170 ( 743921 , 87083 ) 
point65404 ( 783932 , 295791 ) 
point86856 ( 784816 , 270431 ) 
point79265 ( 780297 , 296678 ) 
point28617 ( 870799 , 646785 ) 
point33924 ( 556664 , 904624 ) 
point76222 ( 788551 , 257157 ) 
point38041 ( 607114 , 437445 ) 
point23800 ( 498156 , 749273 ) 
point33049 ( 406712 , 189925 ) 
point928 ( 332612 , 852073 ) 
point99936 ( 774665 , 256685 ) 
point17234 ( 413940 , 965483 ) 
point67366 ( 758151 , 271190 ) 
point95796 ( 794639 , 298902 ) 
point85815 ( 765413 , 255654 ) 
point23496 ( 428079 , 555285 ) 
point34752 ( 29666 , 985255 ) 
point59012 ( 874306 , 788211 ) 
point74764 ( 756729 , 279172 ) 
point22412 ( 52267 , 145548 ) 
point62762 ( 751635 , 258043 ) 
point15387 ( 85087 , 642269 ) 
point13508 ( 332470 , 726419 ) 
point64180 ( 786144 , 253730 ) 
point82289 ( 789487 , 261733 ) 
point49711 ( 973644 , 544477 ) 
point82953 ( 775896 , 265331 ) 
point80206 ( 782502 , 284905 ) 
point41180 ( 895087 , 33713 ) 
point65960 ( 757582 , 285930 ) 
point43929 ( 455804 , 905014 ) 
point31196 ( 516857 , 42867 ) 
point67242 ( 770315 , 260916 ) 
point398 ( 456021 , 582691 ) 
point42494 ( 339930 , 871599 ) 
point21033 ( 451537 , 527860 ) 
point89009 ( 772675 , 258434 ) 
point20588 ( 96460 , 320205 ) 
point93241 ( 758472 , 253452 ) 
point5313 ( 989471 , 353652 ) 
point2424 ( 936652 , 108919 ) 
point20751 ( 258695 , 723499 ) 
